epoch,train_loss,train_box_loss,train_conf_loss,train_class_loss,val_precision,val_recall,val_f1,lr
1,11.92638,6.43710,4.07955,1.40973,0.00102,0.33036,0.00203,0.0000595
2,9.13662,5.62466,2.27087,1.24108,0.00102,0.33036,0.00203,0.0001090
3,8.34247,5.30282,1.91625,1.12340,0.00102,0.33036,0.00203,0.0001585
4,8.32127,5.51331,1.76600,1.04197,0.00102,0.33036,0.00203,0.0002080
5,7.50949,4.88896,1.61755,1.00298,0.00102,0.33036,0.00203,0.0002575
6,6.90828,4.43953,1.49689,0.97185,0.00102,0.33036,0.00203,0.0003070
7,6.51097,4.20418,1.36850,0.93829,0.00102,0.33036,0.00203,0.0003565
8,5.96790,3.84456,1.20090,0.92244,0.00102,0.33036,0.00203,0.0004060
9,5.56654,3.60299,1.07077,0.89278,0.00102,0.33036,0.00203,0.0004555
10,5.44950,3.67355,0.92322,0.85273,0.01176,0.78571,0.02303,0.0005050
11,5.06246,3.36966,0.85083,0.84197,0.01176,0.78571,0.02303,0.0005545
12,4.81140,3.27736,0.73707,0.79698,0.01176,0.78571,0.02303,0.0006040
13,4.59425,3.22736,0.64608,0.72081,0.01176,0.78571,0.02303,0.0006535
14,4.61732,3.32611,0.60458,0.68663,0.01176,0.78571,0.02303,0.0007030
15,4.82189,3.63575,0.55660,0.62954,0.01176,0.78571,0.02303,0.0007525
16,4.14844,3.04680,0.51083,0.59081,0.01176,0.78571,0.02303,0.0008020
17,4.24738,3.19234,0.47436,0.58068,0.01176,0.78571,0.02303,0.0008515
18,3.86929,2.90803,0.41823,0.54303,0.01176,0.78571,0.02303,0.0009010
19,3.54240,2.70895,0.35347,0.47998,0.01176,0.78571,0.02303,0.0009505
20,3.69557,2.92487,0.33211,0.43858,0.09628,0.96429,0.16681,0.0010000
21,3.76103,2.97815,0.34195,0.44092,0.09628,0.96429,0.16681,0.0010000
22,3.38941,2.68672,0.29079,0.41191,0.09628,0.96429,0.16681,0.0010000
23,3.18333,2.54136,0.26287,0.37910,0.09628,0.96429,0.16681,0.0010000
24,3.10069,2.51922,0.25340,0.32808,0.09628,0.96429,0.16681,0.0010000
25,2.83847,2.34165,0.22343,0.27339,0.09628,0.96429,0.16681,0.0009999
26,2.88351,2.42124,0.22742,0.23485,0.09628,0.96429,0.16681,0.0009999
27,2.84896,2.40273,0.21942,0.22680,0.09628,0.96429,0.16681,0.0009999
28,2.77493,2.34108,0.21231,0.22154,0.09628,0.96429,0.16681,0.0009998
29,2.69600,2.30622,0.18689,0.20289,0.09628,0.96429,0.16681,0.0009998
30,2.50039,2.14374,0.17538,0.18126,0.13267,1.00000,0.23238,0.0009998
31,2.38610,2.06169,0.17459,0.14982,0.13267,1.00000,0.23238,0.0009997
32,2.41381,2.10099,0.15935,0.15347,0.13267,1.00000,0.23238,0.0009996
33,2.44005,2.13328,0.14972,0.15704,0.13267,1.00000,0.23238,0.0009996
34,2.39552,2.09143,0.14716,0.15693,0.13267,1.00000,0.23238,0.0009995
