epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7939,1.80925,4.90261,0.00473,0.00567,0.37778,0.14413,0.12221,1.56545,5.34906,0.00317,0.00026,0.00026,0.00026
2,59.6563,1.85322,3.96813,0.00409,0.00533,0.35556,0.13507,0.11625,1.53441,5.15175,0.00356,0.000534654,0.000534654,0.000534654
3,92.4498,1.80257,3.25089,0.00387,0.00433,0.28889,0.1195,0.09786,1.58364,5.01049,0.0043,0.000803764,0.000803764,0.000803764
4,116.893,1.76633,3.12734,0.00418,0.00883,0.58889,0.22393,0.15099,1.52921,4.56657,0.00423,0.00106733,0.00106733,0.00106733
5,145.35,1.7854,2.83622,0.00393,0.55019,0.09531,0.25301,0.16581,1.58336,4.26362,0.00524,0.00132535,0.00132535,0.00132535
6,220.583,1.7878,2.56717,0.00388,0.86468,0.28409,0.56189,0.29893,1.64752,3.72973,0.00526,0.00157783,0.00157783,0.00157783
7,265.145,1.81253,2.50826,0.00427,0.90941,0.22313,0.63963,0.34748,1.64911,3.56806,0.00588,0.00182476,0.00182476,0.00182476
8,316.393,1.83075,2.10356,0.00372,0.85686,0.5,0.65694,0.33465,1.65196,2.96456,0.00568,0.0018614,0.0018614,0.0018614
9,348.707,1.74801,2.11001,0.00414,0.70084,0.51111,0.58317,0.32502,1.71391,2.70683,0.00621,0.0018416,0.0018416,0.0018416
10,387.529,1.71269,1.97058,0.00416,0.7451,0.65556,0.72459,0.4043,1.61728,2.22912,0.00527,0.0018218,0.0018218,0.0018218
11,438.076,1.71346,1.72136,0.00385,0.63331,0.65249,0.68827,0.37218,1.64748,2.02428,0.00564,0.001802,0.001802,0.001802
12,465.405,1.70916,1.7003,0.00419,0.74916,0.66667,0.74103,0.40138,1.60567,1.80227,0.00471,0.0017822,0.0017822,0.0017822
13,487.567,1.67618,1.5953,0.0039,0.66867,0.65031,0.68155,0.36845,1.76598,1.74973,0.00583,0.0017624,0.0017624,0.0017624
14,509.647,1.71602,1.4942,0.0038,0.81582,0.6,0.69186,0.36083,1.65715,1.75205,0.00571,0.0017426,0.0017426,0.0017426
15,542.384,1.75494,1.46405,0.00376,0.59917,0.73333,0.69463,0.38892,1.71903,1.51456,0.00636,0.0017228,0.0017228,0.0017228
16,589.171,1.695,1.41465,0.00392,0.78636,0.65556,0.73516,0.392,1.61662,1.46927,0.00544,0.001703,0.001703,0.001703
17,621.861,1.71261,1.26666,0.00334,0.77064,0.7,0.75876,0.40674,1.61578,1.46709,0.00502,0.0016832,0.0016832,0.0016832
18,654.451,1.73882,1.26213,0.00349,0.87497,0.6998,0.79869,0.44285,1.52607,1.32332,0.00436,0.0016634,0.0016634,0.0016634
