epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9857,2.0111,4.33791,0.00567,0.00548,0.35659,0.1121,0.07826,1.61554,5.10913,0.00431,0.00058,0.00058,0.00058
2,132.441,1.9595,3.27723,0.00524,0.4812,0.12403,0.22439,0.13456,1.80194,4.43119,0.00582,0.00116832,0.00116832,0.00116832
3,197.649,1.96511,2.77907,0.00555,0.72615,0.20561,0.40409,0.20293,1.83638,3.87897,0.0061,0.00174476,0.00174476,0.00174476
4,261.077,2.03675,2.53114,0.00571,0.52803,0.42636,0.40565,0.23617,1.8246,3.03127,0.00653,0.0019406,0.0019406,0.0019406
5,325.511,2.00456,2.29198,0.00557,0.62446,0.54264,0.60653,0.2827,1.73373,2.45773,0.00592,0.0019208,0.0019208,0.0019208
6,379.43,1.95249,2.0236,0.00518,0.85325,0.44186,0.64524,0.32592,1.79617,2.02687,0.00593,0.001901,0.001901,0.001901
7,434.67,1.92894,1.82956,0.00522,0.64481,0.53477,0.60104,0.31901,1.78702,1.91402,0.00608,0.0018812,0.0018812,0.0018812
8,488.952,1.931,1.73664,0.00509,0.56733,0.55814,0.55973,0.25714,1.93013,1.75984,0.00732,0.0018614,0.0018614,0.0018614
9,540.525,1.90095,1.65311,0.00533,0.60469,0.57364,0.54974,0.29682,1.78225,1.63826,0.00589,0.0018416,0.0018416,0.0018416
10,592.334,1.86018,1.54665,0.00482,0.66863,0.5969,0.62094,0.33485,1.62947,1.49312,0.00515,0.0018218,0.0018218,0.0018218
11,643.938,1.86768,1.53703,0.00509,0.77087,0.57376,0.67617,0.36827,1.66732,1.42873,0.00569,0.001802,0.001802,0.001802
12,695.433,1.81753,1.41268,0.00496,0.77365,0.54264,0.64848,0.3347,1.82623,1.41741,0.00652,0.0017822,0.0017822,0.0017822
13,748.141,1.82794,1.37234,0.00486,0.70803,0.62016,0.68467,0.38213,1.71716,1.29901,0.00551,0.0017624,0.0017624,0.0017624
14,799.925,1.84024,1.36224,0.00487,0.77687,0.62076,0.70373,0.38863,1.62195,1.34856,0.0056,0.0017426,0.0017426,0.0017426
15,849.898,1.8345,1.30652,0.00493,0.70439,0.62016,0.68305,0.36353,1.79246,1.26069,0.0064,0.0017228,0.0017228,0.0017228
16,901.817,1.83809,1.27755,0.00492,0.69787,0.5814,0.62636,0.35563,1.83819,1.24615,0.00704,0.001703,0.001703,0.001703
17,952.715,1.81841,1.26567,0.00477,0.77787,0.62016,0.67732,0.36161,1.79687,1.34248,0.00659,0.0016832,0.0016832,0.0016832
18,1003.19,1.79295,1.22751,0.00475,0.78621,0.56589,0.66942,0.37477,1.65469,1.29812,0.00524,0.0016634,0.0016634,0.0016634
19,1054.59,1.82549,1.18898,0.00458,0.68947,0.64341,0.69028,0.38019,1.67601,1.24032,0.00572,0.0016436,0.0016436,0.0016436
