epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.75492,1.9575,4.03637,1.56408,0.00171,0.2388,0.00189,0.00074,1.68085,4.22276,1.35201,0.0009,0.0009,0.0919
2,6.98039,1.57166,3.61082,1.34386,0.00185,0.25637,0.00772,0.00425,1.27696,4.13628,1.14752,0.00188119,0.00188119,0.0828812
3,10.1875,1.39558,3.07259,1.2902,0.00329,0.38032,0.01305,0.00936,1.1956,3.98413,1.04954,0.00284258,0.00284258,0.0738426
4,13.3908,1.35659,2.56014,1.29678,0.00464,0.71517,0.05584,0.03833,1.17109,3.83557,1.01275,0.00378417,0.00378417,0.0647842
5,16.5935,1.40086,2.23587,1.28826,0.00607,0.88465,0.19666,0.10695,1.20163,3.74628,1.00566,0.00470596,0.00470596,0.055706
6,19.7852,1.37175,1.82251,1.34043,0.00591,0.89733,0.30255,0.18023,1.22193,3.6694,1.05186,0.00560795,0.00560795,0.046608
7,22.9793,1.33076,1.5257,1.36257,0.00605,0.9269,0.39386,0.24096,1.14216,3.56772,1.02776,0.00649014,0.00649014,0.0374901
8,26.245,1.3592,1.65649,1.32159,0.95763,0.02156,0.38298,0.24171,1.21766,3.48353,1.08017,0.00735253,0.00735253,0.0283525
9,29.6746,1.33584,1.45421,1.31376,0.60382,0.05563,0.54396,0.32553,1.30196,3.27546,1.23407,0.00819512,0.00819512,0.0191951
10,32.9204,1.36409,1.45166,1.37826,0.8111,0.03794,0.53755,0.32715,1.21522,3.41641,1.17129,0.00901791,0.00901791,0.0100179
11,36.1488,1.38144,1.51475,1.32229,0.8901,0.37458,0.7907,0.48885,1.22824,2.77287,1.26905,0.00901,0.00901,0.00901
12,39.4822,1.34431,1.43148,1.33021,0.75721,0.60569,0.8064,0.46323,1.31679,2.33039,1.35486,0.008911,0.008911,0.008911
13,42.7487,1.3203,1.28385,1.30273,0.89826,0.79953,0.8993,0.50747,1.51183,1.86875,1.58607,0.008812,0.008812,0.008812
14,46.0524,1.39388,1.4257,1.36617,0.7694,0.74832,0.84558,0.55954,1.22576,1.79872,1.36338,0.008713,0.008713,0.008713
15,49.456,1.2551,1.26038,1.2538,0.83409,0.80585,0.88857,0.57756,1.20866,1.67591,1.3673,0.008614,0.008614,0.008614
16,52.7846,1.27119,1.24031,1.25117,0.71163,0.7364,0.73877,0.46115,1.34453,2.09961,1.49889,0.008515,0.008515,0.008515
17,56.0943,1.25934,1.18642,1.28905,0.88431,0.8501,0.90581,0.55821,1.32443,1.51135,1.45624,0.008416,0.008416,0.008416
18,59.4822,1.2752,1.21357,1.267,0.95278,0.8745,0.94513,0.60692,1.27708,1.48058,1.44556,0.008317,0.008317,0.008317
19,62.891,1.25679,1.12392,1.2367,0.92397,0.84194,0.92548,0.5778,1.3027,1.59471,1.47664,0.008218,0.008218,0.008218
20,66.3155,1.27472,1.15166,1.29667,0.92093,0.87583,0.91275,0.5791,1.28949,1.51096,1.46103,0.008119,0.008119,0.008119
21,69.6343,1.28644,1.10855,1.26903,0.927,0.9051,0.95475,0.58938,1.33212,1.34628,1.40985,0.00802,0.00802,0.00802
22,72.8579,1.22281,1.06034,1.24757,0.93467,0.93253,0.96843,0.63107,1.17549,1.31111,1.3098,0.007921,0.007921,0.007921
23,76.0941,1.22127,1.03816,1.20431,0.91536,0.93125,0.95935,0.62128,1.22713,1.34179,1.38959,0.007822,0.007822,0.007822
24,79.3563,1.24428,1.07565,1.25132,0.93594,0.9549,0.97782,0.65952,1.11981,1.33525,1.27154,0.007723,0.007723,0.007723
25,82.5816,1.2022,1.01458,1.22722,0.8989,0.89932,0.95409,0.60522,1.22788,1.47203,1.32509,0.007624,0.007624,0.007624
26,85.8019,1.18705,1.00038,1.21332,0.92889,0.9373,0.98676,0.63691,1.17792,1.33762,1.28419,0.007525,0.007525,0.007525
27,89.1352,1.20402,1.03011,1.2224,0.94744,0.94676,0.97843,0.66771,1.10895,1.20768,1.24082,0.007426,0.007426,0.007426
28,92.4387,1.17729,0.9671,1.21967,0.93659,0.98401,0.98377,0.66471,1.10261,1.21132,1.24685,0.007327,0.007327,0.007327
29,95.6505,1.18711,0.94025,1.19187,0.89995,0.94182,0.96599,0.64157,1.1345,1.11664,1.27834,0.007228,0.007228,0.007228
30,98.9465,1.14898,0.924,1.17563,0.93022,0.97079,0.97893,0.66029,1.15025,1.07908,1.26088,0.007129,0.007129,0.007129
31,102.26,1.13918,0.90458,1.20268,0.89053,0.81801,0.89329,0.55066,1.26827,1.29148,1.38886,0.00703,0.00703,0.00703
32,105.549,1.18601,0.93486,1.23162,0.9367,0.94305,0.97625,0.64979,1.11638,1.15027,1.23119,0.006931,0.006931,0.006931
33,108.882,1.17241,0.93241,1.19579,0.94501,0.96431,0.98805,0.68665,1.08742,1.07839,1.20972,0.006832,0.006832,0.006832
34,112.215,1.09024,0.86547,1.1674,0.93803,0.97602,0.97838,0.64226,1.15114,1.04203,1.26635,0.006733,0.006733,0.006733
35,115.502,1.17641,0.85264,1.20368,0.87571,0.96349,0.93745,0.63106,1.09008,1.04366,1.18762,0.006634,0.006634,0.006634
36,118.804,1.13452,0.84595,1.1844,0.96007,0.97267,0.97955,0.65934,1.16937,1.09856,1.26817,0.006535,0.006535,0.006535
37,122.181,1.15125,0.86202,1.17481,0.9689,0.97436,0.9804,0.65047,1.13884,1.00459,1.22706,0.006436,0.006436,0.006436
38,125.595,1.12333,0.84689,1.19211,0.94975,0.98531,0.98157,0.67283,1.14968,1.0098,1.23553,0.006337,0.006337,0.006337
39,128.897,1.07815,0.85828,1.13918,0.88492,0.74216,0.79652,0.51241,1.38025,1.55061,1.39298,0.006238,0.006238,0.006238
40,132.227,1.0921,0.83457,1.14139,0.95232,0.9881,0.97749,0.66016,1.12526,1.1392,1.27052,0.006139,0.006139,0.006139
